,avg_price,avg_price_5ma,avg_price_10ma,avg_price_30ma,avg_price_60ma,avg_price_100ma,avg_price_180ma,avg_price_360ma,price_chg,price_chg_5sum,price_chg_10sum,price_chg_30sum,action,pur_price,state,sample_id
0,66.78002319335937,66.39324127197264,66.47459304809571,65.39040585835775,64.22138935089112,64.78801113128662,67.44915133158365,68.34185651567248,0.5153700247454429,-0.08246068532059558,1.2976105303239902,4.175104057864754,0.0,,,0
1,67.17012100219726,66.50512161254883,66.60188362121582,65.47098841349285,64.26630180358887,64.77117971038818,67.43645564609105,68.3426948038737,0.5841534491660472,0.8449200956427316,1.9327447754352365,3.7421484533801563,0.0,,,0
2,67.45756683349609,66.75603149414061,66.72166770935058,65.56507247924804,64.3226952234904,64.7566907119751,67.43211038377551,68.34459959030151,0.4279370455346099,1.8849236044552353,1.810566494151323,4.351698911754576,0.0,,,0
3,67.79393692016602,67.12785430908204,66.79468955993651,65.66247311909994,64.38281906127929,64.73472559356689,67.42703289031982,68.34776070488824,0.4986395188254944,2.788672422686589,1.0958106199158388,4.483860981265186,0.0,,,0
4,68.0209831237793,67.4445262145996,66.92489471435547,65.75996129353841,64.45249671936035,64.7089944076538,67.42225578308106,68.35115912543402,0.33490635583039996,2.3610063941019943,1.9448352544058864,4.47282386280472,0.0,,,0
5,67.44532699584961,67.57758697509766,66.98541412353515,65.85323994954427,64.4990046564738,64.67744410705566,67.40976820203993,68.35324068069458,-0.846291984463321,0.9993443848932304,0.9168836995726357,4.316848091991076,0.0,,,0
6,66.79068984985352,67.5017007446289,67.00341117858886,65.93428164164226,64.52443751017252,64.6446118927002,67.39091119554308,68.35295909669664,-0.9706189815587574,-0.5554280458315741,0.2894920498111584,3.7909958809379747,0.0,,,0
7,66.47011108398438,67.30420959472657,67.03012054443359,66.00544766743978,64.54181022644043,64.61077575683593,67.37197486877442,68.35101572672527,-0.47997522796936476,-1.4633403193355488,0.42158328511968746,3.348790989690542,0.0,,,0
8,65.80836563110351,66.90709533691407,67.01747482299804,66.08448420206706,64.55661097208659,64.57458518981933,67.34903104146322,68.34640080134074,-0.9955534030095969,-2.95753324117064,-0.16886081848405032,3.7488370258151433,1.0,65.80836563110351,65.80836563110351,0
9,65.9213493347168,66.48716857910156,66.96584739685059,66.18061564127603,64.59465092976887,64.54624100494385,67.33175768534343,68.34267950481838,0.17168592857421672,-3.1207536684268233,-0.7597472743248281,4.550851838983272,0.0,,65.80836563110351,0
10,66.34265670776367,66.26663452148438,66.92211074829102,66.28646336873372,64.64940011342367,64.52562097930908,67.31799360911052,68.34074218114218,0.6391061125094355,-1.6353555714540668,-0.6360111865608356,4.984018758405306,0.0,,65.80836563110351,0
11,66.71992263793945,66.25248107910156,66.87709091186522,66.36428197224934,64.7158769607544,64.5227974395752,67.30325670878094,68.33937094582453,0.5686626808414141,-0.09607390905389535,-0.6515019548854686,3.6242452119566337,0.0,,65.80836563110351,0
12,66.98884658813476,66.35622817993165,66.8302188873291,66.44019220987956,64.77848472595215,64.526619140625,67.2880572213067,68.33927022298177,0.4030639418673321,0.7869652607828015,-0.6763750585527464,3.5207112194543866,0.0,,65.80836563110351,0
13,66.48606033325196,66.49176712036133,66.69943122863769,66.46324658711752,64.84716423034668,64.53072104644775,67.26792550404866,68.33946373197767,-0.7505521896414624,1.031966474150936,-1.9255667670197032,1.0967487448249713,0.0,,65.80836563110351,0
14,66.23394927978515,66.554287109375,66.52072784423828,66.48471280415852,64.92757472991943,64.53610359954834,67.24698800404867,68.33879200405543,-0.37919385237016323,0.48108669320655606,-2.6396669752202664,1.02832018157758,0.0,,65.80836563110351,0
15,66.13932037353516,66.5136198425293,66.39012718200684,66.51629486083985,65.01677739461263,64.53491803741456,67.22623356713189,68.3364636739095,-0.14287069890739357,-0.300890118210273,-1.936245689664339,1.4924083505441499,0.0,,65.80836563110351,0
16,66.96252517700195,66.56214035034179,66.40731071472166,66.5713990020752,65.09904158274333,64.54430480194092,67.20341682857936,68.33632523854574,1.244652649615352,0.3750998505636649,0.27902594150977045,2.5567589360089404,0.0,,65.80836563110351,0
17,66.03144683837891,66.37066040039062,66.36344429016114,66.5881042734782,65.16091121673584,64.54121504974366,67.16829268137614,68.3340989028083,-1.3904468748182963,-1.4184109661219635,-0.6314457053391611,0.8280946634368735,0.0,,65.80836563110351,0
18,65.47897262573242,66.16924285888672,66.33050498962402,66.57165608723957,65.2229265721639,64.5434973526001,67.132011879815,68.33055375629002,-0.836683488094303,-1.5045422645748041,-0.4725757904238672,-0.6832837258971991,1.0,65.47897262573242,65.64366912841797,0
19,65.17550582885742,65.95755416870118,66.25592063903808,66.53714716593424,65.28068571726482,64.54920736694335,67.09318683624268,68.32654283311632,-0.46345686974896827,-1.5888052819536091,-1.1077185887470522,-1.5080359090266615,1.0,65.17550582885742,65.48761469523112,0
20,64.56889419555664,65.64346893310548,66.07854438781737,66.4917493947347,65.35307037353515,64.55961022949218,67.05343520270453,68.32162770589193,-0.9307355970411213,-2.376670180087337,-2.677560298297609,-2.015960954534457,1.0,64.56889419555664,65.2579345703125,0
21,64.42488403320313,65.1359407043457,65.84904052734376,66.44267168680827,65.38796424865723,64.57810939025879,67.01532711452909,68.3163052198622,-0.2230333415922381,-3.844356171294927,-3.4692563207312612,-2.188013500181496,1.0,64.42488403320313,65.09132446289063,0
